GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
C46F4.1-1,EGL-6-1,FLP-10-1,-8.693,-8.882 to -8.504,2.03E-09,,,,
C46F4.1-1,EGL-6-1,FLP-12-1,-5.569,-5.779 to -5.359,2.70E-06,,,,
C46F4.1-1,EGL-6-1,FLP-17-1,-6.261,-6.449 to -6.074,5.48E-07,,,,
C46F4.1-1,EGL-6-1,FLP-17-2,-8.439,-8.558 to -8.320,3.64E-09,,,,
C46F4.1-1,EGL-6-1,FLP-17-3,-6.636,-6.759 to -6.514,2.31E-07,,,,
C46F4.1-1,EGL-6-1,FLP-17-4,-7.943,-8.091 to -7.795,1.14E-08,,,,
C46F4.1-1,EGL-6-1,FLP-4-1,-6.226,-6.353 to -6.100,5.938E-07,,,,
C46F4.1-1,EGL-6-1,FLP-4-2,-6.100,-6.215 to -5.984,7.949E-07,,,,
C46F4.1-1,EGL-6-1,FLP-5-1,-6.125,-6.215 to -6.035,7.502E-07,,,,
C46F4.1-1,EGL-6-1,FLP-5-2,-6.013,-6.098 to -5.929,9.694E-07,,,,
C46F4.1-1,EGL-6-1,FLP-5-3,-5.422,-5.570 to -5.273,3.788E-06,,,,
C46F4.1-1,EGL-6-1,FLP-6-1,-6.080,-6.189 to -5.971,8.32E-07,,,,
C46F4.1-1,EGL-6-1,FLP-6-2,-5.840,-5.930 to -5.749,1.45E-06,,,,
C46F4.1-1,EGL-6-1,FLP-8-1,-5.564,-5.674 to -5.453,2.73E-06,,,,
C46F4.1-1,EGL-6-1,FLP-8-2,-5.300,-5.460 to -5.139,5.02E-06,,,,
C46F4.1-1,EGL-6-1,FLP-9-1,-5.837,-5.997 to -5.677,1.46E-06,,,,
C46F4.1-1,EGL-6-1,FLP-9-2,-7.185,-7.312 to -7.057,6.54E-08,,,,
C46F4.1-1,EGL-6-1,pyroFLP-10-1,-8.478,-8.699 to -8.256,3.33E-09,,,,
C46F4.1-2,EGL-6-2,FLP-10-1,-8.487,-8.670 to -8.305,3.26E-09,,,,
C46F4.1-2,EGL-6-2,FLP-12-1,-5.765,-5.876 to -5.654,1.72E-06,,,,
C46F4.1-2,EGL-6-2,FLP-12-2,-5.025,-5.227 to -4.823,9.44E-06,,,,
C46F4.1-2,EGL-6-2,FLP-17-1,-6.323,-6.426 to -6.220,4.76E-07,,,,
C46F4.1-2,EGL-6-2,FLP-17-2,-7.910,-8.073 to -7.748,1.23E-08,,,,
C46F4.1-2,EGL-6-2,FLP-17-3,-6.273,-6.343 to -6.203,5.34E-07,,,,
