#source neuron, target neuron, transmitter, receptor
AIML,PQR,pdf-2,pdfr-1
AIMR,PQR,pdf-2,pdfr-1
AIML,PVCL,pdf-2,pdfr-1
AIML,PVCR,pdf-2,pdfr-1
AIMR,PVCL,pdf-2,pdfr-1
AIMR,PVCR,pdf-2,pdfr-1
AIML,PVM,pdf-2,pdfr-1
AIMR,PVM,pdf-2,pdfr-1
AIML,PVQL,pdf-2,pdfr-1
AIML,PVQR,pdf-2,pdfr-1
AIMR,PVQL,pdf-2,pdfr-1
AIMR,PVQR,pdf-2,pdfr-1
AIML,PVWL,pdf-2,pdfr-1
AIML,PVWR,pdf-2,pdfr-1
AIMR,PVWL,pdf-2,pdfr-1
AIMR,PVWR,pdf-2,pdfr-1
AIML,RIFL,pdf-2,pdfr-1
AIML,RIFR,pdf-2,pdfr-1
AIMR,RIFL,pdf-2,pdfr-1
AIMR,RIFR,pdf-2,pdfr-1
AIML,RMED,pdf-2,pdfr-1
AIML,RMEL,pdf-2,pdfr-1
AIML,RMER,pdf-2,pdfr-1
AIML,RMEV,pdf-2,pdfr-1
AIMR,RMED,pdf-2,pdfr-1
AIMR,RMEL,pdf-2,pdfr-1
AIMR,RMER,pdf-2,pdfr-1
AIMR,RMEV,pdf-2,pdfr-1
AIML,URXL,pdf-2,pdfr-1
AIML,URXR,pdf-2,pdfr-1
AIMR,URXL,pdf-2,pdfr-1
AIMR,URXR,pdf-2,pdfr-1
AIML,URYDL,pdf-2,pdfr-1
AIML,URYDR,pdf-2,pdfr-1
AIML,URYVL,pdf-2,pdfr-1
AIML,URYVR,pdf-2,pdfr-1
AIMR,URYDL,pdf-2,pdfr-1
AIMR,URYDR,pdf-2,pdfr-1
AIMR,URYVL,pdf-2,pdfr-1
AIMR,URYVR,pdf-2,pdfr-1
AQR,ALML,pdf-2,pdfr-1
AQR,ALMR,pdf-2,pdfr-1
AQR,AVDL,pdf-2,pdfr-1
AQR,AVDR,pdf-2,pdfr-1
AQR,AVFL,pdf-2,pdfr-1
AQR,AVFR,pdf-2,pdfr-1
AQR,AVM,pdf-2,pdfr-1
AQR,DB2,pdf-2,pdfr-1
AQR,FLPL,pdf-2,pdfr-1
AQR,FLPR,pdf-2,pdfr-1
AQR,I1L,pdf-2,pdfr-1
AQR,I1R,pdf-2,pdfr-1
AQR,OLLL,pdf-2,pdfr-1
AQR,OLLR,pdf-2,pdfr-1
AQR,OLQDL,pdf-2,pdfr-1
AQR,OLQDR,pdf-2,pdfr-1
AQR,OLQVL,pdf-2,pdfr-1
AQR,OLQVR,pdf-2,pdfr-1
AQR,PHAL,pdf-2,pdfr-1
AQR,PHAR,pdf-2,pdfr-1
AQR,PHBL,pdf-2,pdfr-1
AQR,PHBR,pdf-2,pdfr-1
AQR,PLML,pdf-2,pdfr-1
